Ticker,Company,Sector,Industry,Market Cap (€B),Price (€),Currency,P/E Ratio,Forward P/E,P/B Ratio,PEG Ratio,Net Income (€M),Profit Margin,ROE,ROA,Dividend Yield,Payout Ratio,Beta,Debt/Equity,Current Ratio,EPS
EXM.BR,Exmar NV,Energy,Oil & Gas Equipment & Services,0.801523264,10.08,EUR,4.382609,34.75862,1.035172,,155.867008,0.56235003,0.26835,0.04592,5.85,0.0,-0.369,45.435,4.357,2.3
PROX.BR,Proximus PLC,Communication Services,Telecom Services,2.253526784,6.985,EUR,4.751701,6.491757,0.58569515,,473.0,0.07429,0.11387,0.03428,5.73,0.4078,0.482,108.846,0.953,1.47
SHUR.BR,Shurgard Self Storage Ltd,Real Estate,REIT - Specialty,2.933245696,29.05,EUR,5.0609756,16.275785,0.6732641,,566.260992,1.2863699,0.14031,0.02431,4.03,0.2038,0.911,39.391,0.973,5.74
CAMB.BR,Campine NV,Industrials,Waste Management,0.309,206.0,EUR,6.514864,,2.66033,,47.432,0.081750005,0.49453,0.18232,2.18,0.1423,0.453,41.006,1.694,31.62
ECONB.BR,Econocom Group SE,Technology,Information Technology Services,0.263934272,1.58,EUR,6.5833335,3.4598289,0.64542484,,39.6,0.0054,0.08718,0.02525,6.33,0.4202,0.839,137.433,1.249,0.24
HOMI.BR,Home Invest Belgium S.A.,Real Estate,REIT - Residential,0.35971792,18.08,EUR,7.349593,14.819672,0.7463364,,40.048,1.0095301,0.084300004,0.020299999,6.31,0.4634,0.312,83.973,0.36,2.46
GIMB.BR,Gimv NV,Financial Services,Asset Management,1.630724224,44.3,EUR,7.5726495,38.52174,0.82184666,,201.056,0.74277997,0.11247,0.05673,5.87,0.44439998,0.531,18.179,5.033,5.85
CFEB.BR,Compagnie d'Entreprises CFE SA,Industrials,Engineering & Construction,0.2162728,8.72,EUR,7.927273,7.7442274,0.9108953,,27.328,0.02424,0.11554,0.013459999,4.59,0.36360002,1.371,79.755,1.028,1.1
INCLU.BR,Inclusio SA,Real Estate,Real Estate Services,0.136036368,17.85,EUR,8.263888,16.081081,0.59184355,,16.193424,0.96595,0.072519995,0.02044,4.59,0.3796,0.524,69.989,0.844,2.16
VGP.BR,VGP NV,Real Estate,Real Estate Services,2.69365248,98.7,EUR,8.266332,17.984005,1.0814068,,325.976,1.98141,0.13737,0.012150001,3.34,0.2764,1.347,93.508,2.366,11.94
